order_id,customer_id,order_date,product,category,unit_price,quantity,discount_pct,region,payment_method,delivery_days,rating,notes
1001,C-001,2025-01-03,Phone X,Electronics,"12,499 TL",1,10, Marmara ,Card,3,4.5,"fast delivery"
1002,C-002,03/01/2025,Laptop Pro,Electronics,"₺34.999",1,,Ege,Cash,5,5,""
1003,C-003,2025.01.04,Headphones,Electrnics,"1.299,90",2,5,İç Anadolu,Card,2,4,"typo category"
1004,C-004,2025-01-04,Phone X,Electronics,"12499",1,10,Marmara,Card,3,4.5,"duplicate row test"
1004,C-004,2025-01-04,Phone X,Electronics,"12499",1,10,Marmara,Card,3,4.5,"duplicate row test"
1005,C-005,2025-01-05,Blender,Home,"2.199 TL",1,0,Akdeniz,Card,7,3,""
1006,C-006,2025-01-05,blender ,home,"2199",1,0,Akdeniz,Card,7,3,"lowercase + trailing space"
1007,C-007,2025-01-06,Book: Data,Books,"199,99",3,15,Karadeniz,Cash,4,4,""
1008,C-008,2025-01-06,Book: Data,Books,"199.99",3,15,Karadeniz,Cash,4,4,"dot decimal"
1009,C-009,2025-01-07,Desk Lamp,Home,"-450",1,0,Marmara,Card,2,2,"negative price?"
1010,C-010,2025-01-07,Monitor,Electronics,"8,499",1,5,Doğu Anadolu,Card,?,4,"delivery unknown"
1011,C-011,2025-01-08,Phone X,Electronics,"12.499",2,10,Marmara,Card,3,4.5,"quantity 2"
1012,C-012,2025-01-08,Phone X,Electronics,"12.499",0,10,Marmara,Card,3,4.5,"zero quantity"
1013,C-013,2025-01-09,Chair,Home,"1 799",1,5,Güneydoğu Anadolu,Card,6,3.5,"space thousand sep"
1014,C-014,2025-01-10,Keyboard,Electronics,"799 TL",two,0,Ege,Card,2,4,"quantity not numeric"
1015,C-015,2025-01-10,Mouse,Electronics,"399TL",1,0,Ege,Card,2,"4,0","rating comma decimal"
1016,C-016,2025-01-11,Coffee,Food,"89,90",5,0,Marmara,Cash,1,5,""
1017,C-017,2025-01-11,Coffee,Food,"89,90",5,0,Marmara,Cash,1,6,"rating out of range"
1018,C-018,2025-01-12,Olive Oil,Food,"249,50",1,0,Ege,Card,2,4,""
1019,C-019,2025-01-12,Olive Oil,Food,"249,50",1,110,Ege,Card,2,4,"discount >100"
1020,C-020,2025-01-13,Tablet,Electronics,"15.000",1,5,İç Anadolu,Card,3,4,"outlier price maybe ok"
1021,C-021,2025-01-13,Tablet,Electronics,"150000",1,5,İç Anadolu,Card,3,4,"crazy outlier price"
1022,C-022,2025-01-14,Notebook,Stationery,"39,90",10,0, Marmara,Card,2,4,""
1023,C-023,2025-01-14,Pen,Stationery,"9,90",50,0,Marmara,Card,2,4,""
1024,C-024,2025-01-15,Pen,Stationery,"9,90",50,0,Marmara,Card,2,4,"duplicated customer order?"
1025,C-025,2025-01-16,Sneakers,Fashion,"2.999",1,20,Ege,Card,4,3,""
1026,C-026,2025-01-16,Sneakers,Fashion,"2,999",1,20,Ege,Card,4,3,"comma thousand"
1027,C-027,2025-01-17,T-shirt,Fashion,"399",2,5,Ege,Card,3,,"missing rating"
1028,C-028,2025-01-17,T-shirt,Fashion,"399",2,5,Ege,Card,-1,4,"negative delivery days"
1029,C-029,2025-01-18,Phone X,Electronics,"12.499",1,10,Marmara,Card,3,4.5,""
1030,C-030,2025-01-19,Laptop Pro,Electronics,"34.999",1,5,Ege,Card,5,5,""
1031,C-031,2025-01-20,Headphones,Electronics,"1299.90",2,5,İç Anadolu,Card,2,4,""
1032,C-032,2025-01-21,Headphones,Electronics,"1.299,90",2,5,İç Anadolu,Card,2,4,""
1033,C-033,2025-01-22,Monitor,Electronics,"8.499",1,5,Doğu Anadolu,Card,2,4,""
1034,C-034,2025-01-23,Monitor,Electronics,"8.499",1,5,Doğu Anadolu,Card,2,4,""
1035,C-035,2025-01-24,Desk Lamp,Home,"849",1,0,Marmara,Card,2,2,""
1036,C-036,2025-01-25,Desk Lamp,Home,"849",,0,Marmara,Card,2,2,"missing quantity"
1037,C-037,2025-01-26,Book: Data,Books,"199,99",1,0,Karadeniz,Cash,4,4,""
1038,C-038,2025-01-27,Book: Data,Books,"199,99",1,0,Karadeniz,Cash,4,4,""
1039,C-039,2025-01-28,Blender,Home,"2.199 TL",1,0,Akdeniz,Card,7,3,""
1040,C-040,2025-01-29,Phone X,Electronics,"12,499 TL",1,10,Marmara,Card,3,4.5,""
